Nome_Artista;Seguidores_Artista;Popularidade_Artista (0 -100);Generos_Musicais_Artista
Adam Levine            ;1062034;70;unknown
Adele                  ;66363671;83;soft pop
AFROJACK               ;4028348;72;edm, big room
Alesso                 ;4029345;72;edm
Alicia Keys            ;12846741;78;r&b, neo soul
American Authors       ;1643995;62;unknown
Anne-Marie             ;12794980;75;unknown
Ariana Grande          ;107070685;90;pop
Ava Max                ;7716939;77;unknown
Avicii                 ;23415975;79;edm
Bebe Rexha             ;9810964;76;unknown
Beyoncé                ;41066423;84;unknown
Black Eyed Peas        ;9472618;81;unknown
Britney Spears         ;17624747;80;pop
Bruno Mars             ;75062485;89;unknown
Calvin Harris          ;23057111;84;edm
Camila Cabello         ;35499852;79;unknown
Capital Cities         ;991652;66;unknown
Carly Rae Jepsen       ;5130488;70;unknown
Chris Brown            ;28076386;87;r&b
Christina Aguilera     ;9207180;76;unknown
Clean Bandit           ;5954439;74;unknown
Colby O'Donis          ;176926;69;unknown
Coldplay               ;60504118;88;unknown
David Guetta           ;27069974;87;edm
Demi Lovato            ;27268067;77;unknown
Deorro                 ;1266568;64;melbourne bounce, electro house
Disciples              ;270990;63;house
DJ Snake               ;9254357;77;unknown
DNCE                   ;4589091;66;unknown
Drake                  ;102442042;95;rap
Dua Lipa               ;46780122;85;pop
Duke Dumont            ;792258;66;house
Ed Sheeran             ;122406470;88;soft pop
Ellie Goulding         ;13170286;78;unknown
Fall Out Boy           ;11388365;77;emo, pop punk
Flo Rida               ;8944840;79;unknown
Florence Welch         ;59377;62;unknown
Galantis               ;3467650;69;unknown
Gotye                  ;2246952;69;unknown
Gym Class Heroes       ;1660615;67;unknown
Halsey                 ;22346082;80;unknown
Hurts                  ;364286;59;unknown
Imagine Dragons        ;58218654;85;unknown
J Balvin               ;38992078;86;reggaeton, latin
JAY-Z                  ;10303721;82;hip hop, east coast hip hop, rap
Jennifer Lopez         ;13683511;74;unknown
Jess Glynne            ;3161355;73;unknown
Jessie J               ;12175432;71;unknown
John Martin            ;92186;66;unknown
John Newman            ;815616;68;unknown
Justin Bieber          ;84716750;91;unknown
Katy Perry             ;38213547;83;pop
Kelly Clarkson         ;10938454;72;christmas
Kesha                  ;9110606;78;unknown
Kimbra                 ;484815;68;unknown
KSHMR                  ;1778192;61;big room, edm, slap house, electronica
Lady Gaga              ;41808380;89;art pop, pop
Lana Del Rey           ;51247976;88;unknown
Macklemore             ;2809987;74;unknown
Macklemore & Ryan Lewis;2657549;69;unknown
Maroon 5               ;45610025;85;pop
Mike Posner            ;1517661;68;unknown
Mikky Ekko             ;145739;66;unknown
Miley Cyrus            ;26477857;81;unknown
Naughty Boy            ;411417;62;unknown
Nayer                  ;34590;68;unknown
Ne-Yo                  ;10148808;80;unknown
Nicki Minaj            ;34245507;84;unknown
OneRepublic            ;18633732;81;soft pop
Pitbull                ;11863924;83;unknown
Ray Dalton             ;123372;70;unknown
Rihanna                ;68595236;90;unknown
Route 94               ;179727;62;house
Ryan Lewis             ;13594;67;unknown
Ryan Tedder            ;42529;59;unknown
Sam Smith              ;26185660;81;soft pop
Sean Paul              ;5253540;81;dancehall
Sebastian Ingrosso     ;1007001;68;edm
Seeb                   ;368872;66;unknown
Shakira                ;39548494;85;latin pop
Shawn Mendes           ;45611135;81;unknown
Sia                    ;30429655;82;unknown
Taio Cruz              ;2359629;68;unknown
The Chainsmokers       ;21319892;80;unknown
The Neighbourhood      ;21428942;82;unknown
The Score              ;1547890;65;unknown
The Script             ;8780638;75;unknown
Tiësto                 ;7955230;80;edm, trance, big room, house
Tommy Trash            ;147614;52;edm
Twenty One Pilots      ;25719152;84;unknown
USHER                  ;13664682;80;r&b
VASSY                  ;41377;58;electronica
WALK THE MOON          ;2236314;66;unknown
Wanz                   ;6530;61;g-funk, west coast hip hop
will.i.am              ;4414830;73;unknown
Wiz Khalifa            ;12037619;81;rap
Wyclef Jean            ;425923;70;unknown
Young Thug             ;12356743;84;rap, melodic rap, trap
Zara Larsson           ;10878476;77;unknown
ZAYN                   ;24008454;74;unknown
Zedd                   ;6104791;74;edm
